"IN","av","count"
925,68.3475,4
926,28.53,8
927,115.160555555556,18
928,61.6058823529412,17
929,38.55625,16
930,49.541,40
931,90.2151428571429,35
932,60,1
933,79.695,2
934,61.56,3
935,60,1
936,46.785,2
937,106.516,5
938,62.885,4
939,24.9883333333333,6
940,20.77,1
941,76.9385714285714,28
943,99.5783333333333,6
944,96.27,3
945,84.7953846153846,13
946,60,9
947,63.226,15
948,60.605,4
949,44.05,3
950,64.53,1
951,105.557,10
952,65.2988888888889,9
953,86.5825,4
954,174.05,1
955,60,1
957,60,1
958,40.0266666666667,3
959,30.095,2
960,139.479736842105,38
961,37.0791666666667,12
962,9.555,2
963,24.8409090909091,11
965,51.35,2
967,60,5
968,65.2228571428571,7
969,70.7076923076923,13
970,60,1
971,30.23,2
972,5.115,2
973,48.07,1
974,53.6696,25
975,78.58,1
977,99.03,2
978,44.98,1
979,82.1133333333333,6
980,3.03,1
981,35.71,1
982,133.011794871795,39
983,117.17,1
985,111.983636363636,11
986,55.0391666666667,24
987,66.2852631578947,19
988,53.7346153846154,13
990,38.8221428571429,14
991,36.3,1
992,31.11,2
993,60,1
995,62.2866666666667,12
996,164.765,8
997,29.18125,8
998,84.9892307692308,13
999,119.035,2
1000,78.53,1
1001,70.1709090909091,11
1002,60.87875,8
1003,36.13625,16
1004,60,1
1005,60,1
1006,60,1
1007,45.0375,4
1008,23.14,1
1009,27.27,1
1010,78.08,1
1011,86.4875,4
1013,75.28,10
1014,60,1
1015,97.8095833333333,24
1016,56.7885714285714,14
1017,91.4211111111111,9
1018,33.8902702702703,37
1019,83.81,2
1020,113.375,6
1021,44.9683333333333,24
1023,60,1
1024,43.4819047619048,21
1025,60,1
1026,85.5633333333333,24
1027,118.9,2
1028,3.43,1
1030,32.38,3
1031,60,3
1032,51.9371428571429,7
1033,101.5125,4
1034,60,6
1035,60,5
1036,24.44,1
1037,58.493,20
1038,60,1
1039,79.5433333333333,3
1040,6.55,1
1041,60,1
1042,60,3
1043,50.221,10
1044,60,1
1045,43.5,15
1046,14.254,5
1047,85.4366666666667,39
1048,83.9728571428572,14
1050,40.86,1
1052,87.0491666666667,24
1053,60,1
1054,111.3848,25
1055,60,1
1056,15.765,2
1057,121.645555555556,9
1059,74.4561538461538,13
1060,184.38,1
1061,23.6,4
1062,48.63,4
1063,34.46825,40
1065,61.11,1
1066,23.24,1
1068,60,3
1069,44.6207142857143,14
1070,72.4833333333333,21
1071,145.071730769231,52
1072,51.2723076923077,13
1073,67.01,1
1074,74.09,1
1075,60,1
1076,49.94375,8
1077,60.380350877193,57
1078,60,1
1079,129.498235294118,17
1080,6.49,1
1081,48.895,4
1082,103.13,1
1083,60.2396666666667,30
1084,52.66,2
1085,60,1
1086,34.538,5
1087,82.94,2
1088,60,1
1089,60,1
1090,75.3933333333333,6
1091,19.733,10
1092,31.44,3
1094,60,1
1095,58.8635714285714,14
1096,89.89,2
1097,12.2875,20
1098,102.05,3
1099,132.5425,4
1100,34.4886666666667,15
1101,44.921,30
1102,60,1
1103,117.755,2
1106,30.07,2
1107,76.05,1
1108,52.2457142857143,7
1109,60,1
1110,53.6166666666667,3
1112,69.8406666666667,30
1113,40.6129166666667,24
1114,137.759444444444,18
1115,66.78,5
1116,60,1
1118,56.473,20
1119,48.84,1
1120,67.7521052631579,19
1122,63.4636363636364,11
1123,67.76,2
1124,43.6433333333333,3
1125,60,1
1126,64.4088888888889,18
1127,60,1
1128,35.7957142857143,7
1129,0.21,1
1130,57.5775,8
1131,59.93,3
1132,41.6529411764706,17
1133,54.1716666666667,6
1134,60,1
1135,78.7158823529412,17
1136,30.38,2
1137,106.06,2
1138,80.605,2
1139,57.745,6
1140,56.87,1
1141,55.6133333333333,3
1143,38.2975,4
1144,86.3464285714286,14
1145,30.045,2
1146,60,1
1147,60,1
1148,113.062727272727,22
1149,60,1
1150,20.8507142857143,14
1151,0.26,1
1152,60,1
1153,60,11
1154,23.2695238095238,21
1155,60,1
1156,0.22,1
1157,83.99,3
1160,37.1842857142857,21
1161,45.42,1
1162,30.16,1
1163,74.345,2
1164,173.26,1
1165,58.41,3
1166,96.2352941176471,17
1167,57.0033333333333,6
1168,60,1
1170,109.161111111111,9
1171,58.9016666666667,12
1172,60,1
1173,98.01,1
1174,73.9583333333333,30
1175,34.57,1
1176,87.44125,8
1177,70.43,1
1179,58.9947368421053,38
1180,32.535625,16
1181,90.2216666666667,6
1182,61.4166666666667,6
1183,50.2784210526316,19
1184,112.845,2
1185,30.05,2
1186,60,1
1188,39.477037037037,27
1189,45.025,4
1190,45.0366666666667,3
1191,28.4551162790698,43
1192,32.895,2
1193,60,1
1194,31.0591304347826,23
1195,65.5511111111111,27
1196,60,1
1197,54.228,5
1198,76.04125,8
1199,78.31,35
1200,99.22,1
1201,60,1
1202,84.7441666666667,12
1203,60.7276470588235,17
1204,147.265,2
1205,47.6888888888889,18
1206,35.155,2
1207,60,1
1208,66.8011764705882,17
1209,29.0073684210526,19
1210,118.043636363636,11
1211,60,1
1213,79.38,1
1214,67.1,1
1215,78.044,20
1216,30.025,2
1217,65.175,10
1218,0.08,1
1219,83.4373684210526,19
1220,59.407027027027,37
1221,0.06,1
1222,20.8,11
1223,32.83,23
1225,20.265,2
1226,64.8276923076923,13
1227,30.11,2
1229,125.655,2
1230,16.63,6
1231,49.67,2
1232,47.87,1
1233,96.77,1
1234,20.8909523809524,21
1235,106.251304347826,23
1236,45.0964705882353,17
1237,102.67,1
1239,59.86,3
1240,59.8233333333333,3
1241,50.9412,25
1242,76.92,2
1243,92.4916666666667,6
1244,60,1
1245,15.915,2
1246,60,5
1247,48.7882352941176,17
1248,50.3457142857143,7
1249,28.8844444444444,9
1250,30.12,2
1251,75.58,1
1252,61.9742857142857,7
1253,27.9375,4
1254,49.53,15
1255,54.3825,8
1256,60,1
1258,58.12,4
1259,11.652,5
1260,54.776,10
1261,50.9342857142857,14
1263,75.6,1
1264,49.41,1
1265,60,1
1266,23.88,1
1267,53.34,9
1268,44.06,5
1269,85.6064705882353,17
1270,71.63375,16
1271,30.085,2
1272,51.4471428571429,7
1273,61.4666666666667,9
1274,44.8638888888889,18
1275,28.415,2
1276,26.6,1
1277,60.5546153846154,13
1278,87.534,5
1279,46.3173333333333,30
1280,23.47,10
1281,18.6,2
1282,68.58,1
1283,44.6684210526316,19
1284,70.8354545454545,11
1285,36.5172727272727,11
1286,60,1
1287,115.04,11
1288,143.631666666667,30
1289,98.885,2
1290,60,1
1291,21.235,2
1292,54.9103846153846,26
1293,39.2090909090909,11
1294,145.84,2
1295,37.217,10
1296,73.906,10
1297,49.74,3
1298,7.14428571428571,7
1299,61.815,2
1300,52.115625,16
1301,63.014,10
1302,30.16,2
1304,60,1
1305,50.3329411764706,17
1306,118.013125,32
1307,126.888333333333,12
1308,60,1
1309,42.255,2
1310,58.4853846153846,13
1311,60,2
1312,45.06,1
1314,32.8875,4
1316,36.8390909090909,22
1318,60,1
1319,67.62,23
1320,96.1658620689655,29
1321,60,2
1322,85.5625,4
1323,60,1
1324,62.9,1
1325,64.485,2
1326,60,2
1327,60.8209090909091,11
1328,60,1
1329,96.1987755102041,49
1330,4.65,2
1331,18.0377419354839,31
1332,38.7833333333333,3
1333,84.5776190476191,21
1334,58.0333333333333,9
1335,60,2
1336,65.9535294117647,17
1337,123.220579710145,69
1338,92.837,30
1340,94.171,70
1341,139.745,2
1342,60,1
1343,85.9925,12
1344,60,1
1345,60,1
1346,58.265,6
1347,60,4
1348,52.1242857142857,7
1349,60,1
1350,41.0675,4
1351,35.155,2
1352,60,2
1353,60,1
1354,0.09,1
1355,68.6914285714286,7
1356,60,1
1357,83.355,22
1358,27.1747619047619,21
1360,0.19,1
1363,60,2
1364,59.0983333333333,6
1365,23.0213333333333,15
1366,65.39125,8
1367,60,4
1368,31.5190909090909,11
1369,73.455,2
1370,60,1
1371,44.2157142857143,7
1372,60,2
1373,45.72,7
1374,50.0188235294118,17
1375,54.79,22
1376,0.6,1
1377,56.835,10
1378,62.74,1
1379,64.265,4
1380,64.0466666666667,12
1381,47.51,1
1382,60,2
1383,60,6
1384,57.9433333333333,3
1385,106.261888888889,90
1386,60,1
1387,37.25,1
1389,60,1
1390,65.0835294117647,17
1391,30.3795238095238,21
1392,36.72875,8
1393,7.58739130434783,23
1394,86.0482,50
1395,62.2342105263158,19
1396,60,1
1397,51.588,5
1399,52.406,5
1400,71.1293333333333,15
1402,84.549,30
1404,0.15,2
1405,55.2707692307692,26
1406,24.44,1
1407,52.91,4
1408,49.987,10
1409,60,1
1410,22.62,1
