"IN","av","count","class"
113,68.6433333333333,12,2
115,46.5666666666667,3,2
128,49.004,10,2
131,53.15,7,2
136,60,1,2
141,60,1,2
143,63.63,1,2
147,60,2,2
151,60,1,2
152,39.53,1,2
155,49.882,5,2
157,60,1,2
165,30.7775,4,2
170,49.4633333333333,6,2
172,60,1,2
173,102.64,7,2
176,27.55,3,2
184,63.4,1,2
190,51.1907692307692,13,2
192,71.6,2,2
193,98.37,15,2
195,54.175,2,2
196,75.3557142857143,14,2
205,71.79,16,2
206,60,8,2
210,51.3377777777778,9,2
212,81.6518918918919,37,2
215,55.7048,25,2
218,60,3,2
230,28.45,1,2
231,60,6,2
234,100.615,4,2
243,42.735,2,2
244,58.2028571428571,7,2
249,32.0733333333333,3,2
252,65.565,2,2
254,94.08,1,2
255,63.6,2,2
264,45.7576923076923,13,2
267,105.93,1,2
269,50.0442857142857,14,2
272,128.16,4,2
275,126.343636363636,22,2
276,60,1,2
277,60,1,2
278,86.2528571428571,7,2
281,59.1333333333333,30,2
282,60.5333333333333,3,2
284,102.84,22,2
285,75.918,5,2
295,77.3983333333333,6,2
306,60.23,2,2
314,52.585,16,2
316,39.9211111111111,9,2
323,77.2611111111111,18,2
326,60,2,2
327,63.16,1,2
332,76.4711111111111,9,2
333,56.308,10,2
335,19.0230769230769,13,2
336,105.768888888889,9,2
344,84.3492857142857,28,2
348,40.41,1,2
350,37.1026315789474,19,2
367,95.7858333333333,24,2
379,26.752,10,2
390,64.92,26,2
394,48.1975,4,2
396,60,1,2
401,66.3333333333333,3,2
403,62.0514285714286,7,2
404,96.52,1,2
407,54.11,1,2
409,104.78,2,2
411,66.4371428571429,7,2
417,60,1,2
424,23.51,2,2
428,60,4,2
434,51.605,20,2
437,103.95,10,2
438,99.9875,4,2
440,63.575,4,2
441,60,1,2
453,60,3,2
455,71.5686666666667,15,2
459,12.5,1,2
461,103.76,3,2
470,93.6982352941177,17,2
476,38.9633333333333,3,2
482,38.08,2,2
496,60,1,2
500,60,1,2
503,71.9792857142857,14,2
505,60,12,2
511,36.4884615384615,26,2
514,128.046086956522,23,2
518,82.5793333333333,15,2
524,105.195,2,2
529,33.16,1,2
536,76.4047368421053,19,2
543,78.6014285714286,7,2
544,21.13,1,2
546,66.8025,4,2
556,154.95,3,2
560,143.1305,20,2
564,60,1,2
567,63.7275,8,2
587,67.17,1,2
594,52.625,2,2
595,60,1,2
596,81.664,5,2
603,72.52,1,2
604,66.1266666666667,6,2
611,63.7307692307692,26,2
612,78.31,1,2
617,83.7233333333333,3,2
618,60,1,2
621,96.7311111111111,9,2
623,39.93625,8,2
624,86.55,7,2
625,85.465,2,2
633,38.61,1,2
638,47.85,4,2
639,161.23,1,2
644,84.9122222222222,9,2
649,60,1,2
652,60,2,2
653,282.57,1,2
658,61.9155555555556,9,2
663,59.84,1,2
668,49.0333333333333,3,2
669,72.73,2,2
675,64.6183333333333,6,2
684,60,1,2
700,60.74,2,2
